ID Provincia,Nombre Provincia,ID Distrito,Nombre Distrito,Año de Referencia,Fuente,Valor,Unidad de Medida
04,"CHIRIQUÍ",06,"DAVID",2023,"Censos de Población y Vivienda Década 2020",74678,"personas"
05,"DARIÉN",01,"CHEPIGANA",2023,"Censos de Población y Vivienda Década 2020",2275,"personas"
07,"LOS SANTOS",02,"LAS TABLAS",2023,"Censos de Población y Vivienda Década 2020",13462,"personas"
07,"LOS SANTOS",05,"PEDASÍ",2023,"Censos de Población y Vivienda Década 2020",1819,"personas"
09,"VERAGUAS",06,"MONTIJO",2023,"Censos de Población y Vivienda Década 2020",2281,"personas"
TOTAL,"TOTAL NACIONAL",2023,"Censos de Población y Vivienda Década 2020",1773868,"personas"
01,"BOCAS DEL TORO",01,"BOCAS DEL TORO",2023,"Censos de Población y Vivienda Década 2020",4252,"personas"
01,"BOCAS DEL TORO",02,"CHANGUINOLA",2023,"Censos de Población y Vivienda Década 2020",22248,"personas"
01,"BOCAS DEL TORO",03,"CHIRIQUÍ GRANDE",2023,"Censos de Población y Vivienda Década 2020",2629,"personas"
01,"BOCAS DEL TORO",04,"ALMIRANTE",2023,"Censos de Población y Vivienda Década 2020",5392,"personas"
02,"COCLÉ",01,"AGUADULCE",2023,"Censos de Población y Vivienda Década 2020",21948,"personas"
02,"COCLÉ",02,"ANTÓN",2023,"Censos de Población y Vivienda Década 2020",18299,"personas"
02,"COCLÉ",03,"LA PINTADA",2023,"Censos de Población y Vivienda Década 2020",6286,"personas"
02,"COCLÉ",04,"NATÁ",2023,"Censos de Población y Vivienda Década 2020",6219,"personas"
02,"COCLÉ",05,"OLÁ",2023,"Censos de Población y Vivienda Década 2020",1167,"personas"
02,"COCLÉ",06,"PENONOMÉ",2023,"Censos de Población y Vivienda Década 2020",33249,"personas"
03,"COLÓN",01,"COLÓN",2023,"Censos de Población y Vivienda Década 2020",103766,"personas"
03,"COLÓN",02,"CHAGRES",2023,"Censos de Población y Vivienda Década 2020",2444,"personas"
03,"COLÓN",03,"DONOSO",2023,"Censos de Población y Vivienda Década 2020",1172,"personas"
03,"COLÓN",04,"PORTOBELO",2023,"Censos de Población y Vivienda Década 2020",3467,"personas"
03,"COLÓN",05,"SANTA ISABEL",2023,"Censos de Población y Vivienda Década 2020",919,"personas"
03,"COLÓN",06,"OMAR TORRIJOS HERRERA",2023,"Censos de Población y Vivienda Década 2020",597,"personas"
